,Jurusan Sekolah,Jenis Sekolah,Jurusan Diterima,PTN Diterima,Rata-rata Matematika,Rata-rata Inggris,Rata-rata Indonesia,Rata-rata Fisika,Rata-rata Kimia,Rata-rata Biologi,Rata-rata Ekonomi,Rata-rata Geografi,Rata-rata Sosiologi,Rata-rata Sejarah
0,IPA,SMA,Kimia,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
1,IPA,SMA,Kedokteran Hewan,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
2,IPA,SMA,Nutrisi Dan Teknologi Pakan,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
3,IPA,SMA,Teknik Mesin Dan Biosistem,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
4,IPA,SMA,Ilmu Keluarga Dan Konsumen,IPB,87.39283870967742,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
5,IPA,SMA,Kimia,IPB,88.0,83.0,82.0,82.0,89.0,80.0,81.0,83.52666666666667,,82.67647058823529
6,IPA,SMA,Biologi,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
7,IPA,SMA,Nutrisi & Teknologi Pakan,IPB,93.0,91.0,90.0,93.0,88.0,86.0,83.0,83.52666666666667,,82.67647058823529
8,IPA,SMA,Teknologi Industri Pertanian,IPB,83.0,83.0,86.0,82.0,82.0,88.0,88.0,83.52666666666667,,87.0
9,IPA,SMA,Komunikasi Dan Pengembangan Masyarakat,IPB,82.0,83.0,81.0,83.0,85.0,81.0,83.0,83.52666666666667,,82.67647058823529
10,IPA,SMA,Ilmu Komputer,IPB,94.0,86.0,86.0,90.0,88.0,85.0,87.0,81.316,,84.0
11,IPA,SMA,Ilmu Gizi,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
12,IPA,SMA,Ilmu Gizi,IPB,81.0,93.0,86.0,86.0,90.0,86.0,83.0,83.52666666666667,,82.67647058823529
13,IPA,SMA,Ilmu Keluarga Dan Konsumen,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
14,IPA,SMA,Teknologi Industri Pertanian,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
15,IPA,SMA,Ekonomi Dan Studi Pembangunan,IPB,86.0,87.0,83.51581609195402,84.12068965517241,86.0,88.0,81.0,83.316,,80.0
16,IPA,SMA,Biologi,IPB,85.0,85.0,84.0,87.0,84.0,86.0,83.0,83.52666666666667,,82.67647058823529
17,IPA,SMA,Meteorologi Terapan,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
18,IPA,SMA,Manajemen,IPB,88.0,81.0,81.0,86.0,83.0,87.0,83.0,86.0,,85.0
19,IPA,SMA,Teknologi Produksi Ternak,IPB,34.5,34.5,34.5,34.5,34.5,34.5,63.6,63.91600000000001,,34.5
20,IPA,SMA,Matematika,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
21,IPA,SMA,Fisika,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
22,IPA,SMA,Ekonomi Sumberdaya Dan Lingkungan,IPB,85.32139784946237,85.05,85.5790804597701,84.12068965517241,85.15,85.28333333333333,83.0,83.52666666666667,,82.67647058823529
23,IPA,SMA,Ilmu Teknologi Pangan,IPB,87.0,91.0,91.0,87.0,89.0,88.0,83.0,83.52666666666667,,82.67647058823529
