,tebakan,asli
0,Akuntansi - UGM (IPS),Akuntansi - UGM
1,Psikologi  - UGM (IPS),Psikologi - UGM
2,Fmipa - ITB (IPA),Fmipa - ITB
3,Fitb - ITB (IPA),Fitb - ITB
4,Matematika  - UI (IPA),Matematika - UI
5,Hubungan Masyarakat - UNPAD (IPS),Hubungan Masyarakat - UNPAD
6,Geofisika - UGM (IPA),Geofisika - UGM
7,Gizi - UGM (IPA),Gizi - UGM
8,Arkeologi - UI (IPS),Arkeologi - UI
9,Teknik Informatika - ITS (IPA),Teknik Informatika - ITS
10,Fitb - ITB (IPA),Fitb - ITB
11,Sosial Ekonomi Pertanian (Agrobisnis) - UGM (IPS),Sosial Ekonomi Pertanian (Agrobisnis) - UGM
12,Kimia - ITS (IPA),Kimia - ITS
13,Fti - ITB (IPA),Fti - ITB
14,Kesehatan Masyarakat - UI (IPA),Kesehatan Masyarakat - UI
15,Fisika - ITS (IPA),Fisika - ITS
16,Geofisika - UGM (IPA),Geofisika - UGM
17,Fitb - ITB (IPA),Fitb - ITB
18,Kesehatan Masyarakat - UI (IPA),Kesehatan Masyarakat - UI
19,Fitb - ITB (IPA),Fitb - ITB
20,Hi - UB (IPS),Hi - UB
21,Pend. Apoteker - UNAIR (IPA),Pend. Apoteker - UNAIR
22,Fitb - ITB (IPA),Fitb - ITB
23,Hubungan Masyarakat - UNPAD (IPS),Hubungan Masyarakat - UNPAD
24,Akuntansi - UGM (IPS),Akuntansi - UGM
25,Teknik Sistem Perkapalan - ITS (IPA),Teknik Sistem Perkapalan - ITS
26,Fmipa - ITB (IPA),Fmipa - ITB
27,Akuntansi - UGM (IPS),Akuntansi - UGM
28,Fitb - ITB (IPA),Fitb - ITB
29,Statistika - ITS (IPA),Statistika - ITS
30,Hubungan Internasional - UGM (IPS),Hubungan Internasional - UGM
31,Ilmu Keperawatan  - UNPAD  (IPA),Ilmu Keperawatan - UNPAD
32,Psikologi  - UGM (IPS),Psikologi - UGM
33,Psikologi  - UGM (IPS),Psikologi - UGM
