,tebakan,asli
0,Akuntansi - UGM (IPS),Hukum - UNPAD
1,Ilmu Filsafat - UGM (IPS),Ilmu Filsafat - UGM
2,Akuntansi - UGM (IPS),Ilmu Politik - UNAIR
3,S-1 Teknik Informatika - ITS (IPA),Sith-R - ITB
4,Akuntansi - UGM (IPS),Ilmu Hukum - UNAIR
5,S-1 Teknik Informatika - ITS (IPA),Ftsl Ganesa - ITB
6,Akuntansi - UGM (IPS),Manajemen - UGM
7,Akuntansi - UGM (IPS),Akuntansi - UNAIR
8,S-1 Teknik Informatika - ITS (IPA),Ftsl - ITB
9,Akuntansi - UGM (IPS),Psikologi - UNAIR
10,Psikologi - UI (IPS),Psikologi - UI
11,Teknologi Hasil Perikanan - UB (IPA),Teknologi Hasil Perikanan - UB
12,Akuntansi - UGM (IPS),Akuntansi - UGM
13,Pendidikan Dokter - UB (IPA),Pendidikan Dokter - UB
14,S-1 Teknik Informatika - ITS (IPA),Psikologi - UGM
15,Fmipa - ITB (IPA),Fmipa - ITB
16,S-1 Teknik Informatika - ITS (IPA),Budidaya Perairan - UNAIR
17,Fitb - ITB (IPA),Fitb - ITB
18,S-1 Teknik Informatika - ITS (IPA),Fisika - UNDIP
19,S-1 Teknik Informatika - ITS (IPA),Sith-R - ITB
20,S-1 Teknik Informatika - ITS (IPA),Matematika - UI
21,Ilmu Keperawatan - UI (IPA),Ilmu Keperawatan - UI
22,S-1 Teknik Informatika - ITS (IPA),Sith S - ITB
23,Komunikasi - UI (IPS),Ilmu Perpustakaan - UNPAD
24,S-1 Teknik Informatika - ITS (IPA),Farmasi - UNPAD
25,S-1 Teknik Informatika - ITS (IPA),Kedokteran Hewan - UGM
26,S-1 Teknik Informatika - ITS (IPA),Fisika - UNPAD
27,S-1 Teknik Informatika - ITS (IPA),Ftsl - ITB
28,S-1 Teknik Informatika - ITS (IPA),Statistika - UNPAD
29,Matematika  - UI (IPA),Matematika  - UI
30,S-1 Teknik Informatika - ITS (IPA),Matematika - UI
31,S-1 Teknik Informatika - ITS (IPA),Teknologi Pangan - UNDIP
32,Akuntansi - UGM (IPS),Ilmu Perpustakaan - UNPAD
33,Akuntansi - UGM (IPS),Ilmu Ekonomi - UI
34,S-1 Teknik Informatika - ITS (IPA),Kesehatan Masyarakat - UNAIR
35,Hubungan Masyarakat - UNPAD (IPS),Hubungan Masyarakat - UNPAD
36,S-1 Teknik Informatika - ITS (IPA),Biologi - UI
37,Geofisika - UGM (IPA),Geofisika - UGM
38,S-1 Teknik Informatika - ITS (IPA),Geograf - UI
39,S-1 Teknik Informatika - ITS (IPA),Ftsl - ITB
40,Gizi - UGM (IPA),Gizi - UGM
41,S-1 Teknik Informatika - ITS (IPA),Manajemen - UNAIR
42,Akuntansi - UGM (IPS),Manajemen Komunikasi - UNPAD
43,Arkeologi - UI (IPS),Arkeologi - UI
44,Teknik Informatika - ITS (IPA),Teknik Informatika - ITS
45,S-1 Teknik Informatika - ITS (IPA),Psikologi  - UNAIR
46,Fitb - ITB (IPA),Fitb - ITB
47,S-1 Teknik Informatika - ITS (IPA),Kedokteran - UNAIR
48,S-1 Teknik Informatika - ITS (IPA),Kimia - UI
49,S-1 Teknik Informatika - ITS (IPA),Matematika - UI
50,Akuntansi - UGM (IPS),Akuntansi - UNAIR
51,S-1 Teknik Informatika - ITS (IPA),Teknik Lingkungan - ITS
52,Sosial Ekonomi Pertanian (Agrobisnis) - UGM (IPS),Sosial Ekonomi Pertanian (Agrobisnis) - UGM
53,S-1 Teknik Informatika - ITS (IPA),Budidaya Perairan - UNAIR
54,Akuntansi - UGM (IPS),Sastra Jepang - UI
55,S-1 Teknik Informatika - ITS (IPA),Biologi - UGM 
56,Fmipa Fisika - UB (IPA),Manajemen Komunikasi - UNPAD
57,Akuntansi - UGM (IPS),Manajemen - UNAIR
58,Kimia - ITS (IPA),Kimia - ITS
59,S-1 Teknik Informatika - ITS (IPA),Teknik Industri - UI
