,Administrasi Fiskal - UI (IPS),Administrasi Negara - UNPAD (IPS),Administrasi Niaga - UI (IPS),Administrasi Perpajakan - UB (IPS),Agribisnis - UNDIP (IPA),Agroekoteknologi - UB (IPA),Agroteknologi - UNPAD (IPA),Akuntansi - UGM (IPS),Akutansi - UI (IPS),Antropologi - UNAIR (IPS),Antropologi Sosial - UB (IPS),Apoteker - UNAIR (IPA),Arkeologi - UI (IPS),Arsitektur - ITS (IPA),Astronomi - ITB (IPA),Biologi - ITS (IPA),Budidaya Perairan - UNAIR (IPA),Desain Interior - ITS (IPS),Ekonomi Islam - UB (IPS),Ekonomi Islam  - UNPAD (IPS),Ekonomi Pembangunan - UB (IPS),Fakultas Ilmu Dan Teknologi Kebumian - ITB (IPA),Fakultas Kedokteran Gigi - UNAIR (IPA),Fakultas Teknik Sipil & Lingkungan - ITB (IPA),Farmasi - UI (IPA),Fisika - ITS (IPA),Fiskal - UI (IPS),Fitb - ITB (IPA),Fkg - UGM (IPA),Fmipa - ITB (IPA),Fmipa Fisika - UB (IPA),Fmipa- Ilmu Kimia - UNPAD (IPA),Fti - ITB (IPA),Geofisika - UGM (IPA),Geofisika  - UI (IPA),Gizi - UGM (IPA),Hi - UB (IPS),Hubungan Internasional - UGM (IPS),Hubungan Masyarakat - UNPAD (IPS),Hukum - UB (IPS),Humas - UNPAD (IPS),Ilmu Adm. Fiskal - UI (IPS),Ilmu Administrasi Bisnis - UNPAD (IPS),Ilmu Administrasi Negara - UI (IPS),Ilmu Administrasi Publik - UB (IPS),Ilmu Ekonomi - UGM (IPS),Ilmu Ekonomi Islam - UI (IPS),Ilmu Filsafat - UGM (IPS),Ilmu Gizi - UI (IPA),Ilmu Hub. Internasional - UNPAD (IPA),Ilmu Hubungan Internasional - UI (IPS),Ilmu Hukum - UB (IPS),Ilmu Kelautan - UNDIP (IPA),Ilmu Keperawatan - UI (IPA),Ilmu Keperawatan  - UNPAD  (IPA),Ilmu Kesehatan Masyarakat - UI (IPA),Ilmu Komputer - UGM (IPA),Ilmu Komunikasi - UB (IPS),Ilmu Peternakan - UNPAD (IPA),Ilmu Politik - UB (IPS),Ilmu Sejarah - UI (IPS),Ilmu Sosiologi - UNPAD (IPS),Itb - Sithr - ITB (IPA),Jurnalistik - UNPAD (IPS),Kedokteran - UI (IPA),Kedokteran  - UNAIR (IPA),Kedokteran Gigi - UGM (IPA),Kedokteran Hewan - UNAIR (IPA),Kehutanan - UGM (IPA),Kesehatan Masyarakat - UI (IPA),Kesehatan Masyarakat (Pdd Banyuwangi) - UNAIR (IPA),Kesejahteraan Sosial - UI (IPS),Kimia - ITS (IPA),Kimia  - UI (IPA),"Kimia,  - UNPAD (IPA)",Komunikasi - UI (IPS),Manajemen - ITB (IPS),Manajemen Bisnis - ITS (IPS),Manajemen Dan Kebijakan Publik (An) - UGM (IPS),Manajemen Komunikasi - UNPAD (IPS),Manajemen Sd Perairan - UNDIP (IPS),Matematika - ITS (IPA),Matematika  - UI (IPA),Matematika Aktuaria - ITB (IPA),Menejemen - UNAIR  (IPS),Mipa Geologi - UI (IPA),Mipa Kimia - UB (IPA),Oceanografi - UNDIP (IPA),Pembangunan Wilayah - UGM (IPA),Pend. Apoteker - UNAIR (IPA),Pendidikan Dokter - UB (IPA),Pendidikan Dokter Gigi - UNAIR (IPA),Perencanaan Wilayah & Kota - UB (IPA),Perikanan - UNPAD (IPA),Peternakan - UB (IPA),Psdk - UGM (IPS),Psikologi - UI (IPS),Psikologi  - UGM (IPS),S-1 Teknik Informatika - ITS (IPA),Sappk - ITB (IPA),School Of Business And Management  - ITB (IPA),Sistem Informasi - UB (IPA),Sith - Rekayasa - ITB (IPA),Sosial Ekonomi Pertanian (Agrobisnis) - UGM (IPS),Sosiologi - UB (IPS),Sosiologi Murni - UNAIR (IPS),Statistika - ITS (IPA),Stei - ITB (IPA),Tehnik Sipil - UGM (IPA),Teknik Elektro - ITS (IPA),Teknik Fisika - UGM (IPA),Teknik Geodesi - UNDIP (IPA),Teknik Geologi - UGM (IPA),Teknik Geologi  - UNPAD (IPA),Teknik Industri - ITB (IPA),Teknik Industri Pertanian - UGM (IPA),Teknik Informatika - ITS (IPA),Teknik Kimia - ITB (IPA),Teknik Komputer - ITS (IPA),Teknik Lingkungan - UB (IPA),Teknik Mesin - ITS (IPA),Teknik Metalurgi & Material - UI (IPA),Teknik Nuklir - UGM (IPA),Teknik Pengairan - UB (IPA),Teknik Perkapalan - ITS (IPA),Teknik Pertanian - UGM (IPA),Teknik Sipil - ITB (IPA),Teknik Sistem Perkapalan - ITS (IPA),Teknobiomedik - UNAIR (IPA),Teknologi Bioproses - UI (IPA),Teknologi Hasil Perikanan - UB (IPA),Teknologi Industri Hasil Perikanan - UNAIR (IPA),Teknologi Industri Pertanian - UGM (IPA),Teknologi Pangan - UB (IPA),Televisi & Film - UNPAD (IPS),Tip - UGM (IPA),Tv & Film - UNPAD (IPS)
Matematika,84.0,88.5,85.465625,92.0,86.24999999999999,81.85214285714287,82.5,91.625,44.693124999999995,84.57600393916184,77.0,87.73333333333333,85.37790697674419,90.0,86.0,86.0,83.68333333333334,89.1029411764706,82.40857142857143,80.38972219552053,82.40857142857143,84.0,90.0,89.67533577533578,85.465625,88.80392156862746,83.0,88.2847187001033,88.0,92.24502238502238,92.0,91.0,90.66883394383395,90.31481481481481,93.0,86.0,78.0,89.0,80.67905091480021,78.0,80.0,85.465625,79.73777777777778,83.0,82.40857142857143,88.87654320987654,89.2328125,82.0,85.465625,81.0,82.0,82.93904761904763,82.0,85.465625,84.0,86.0,85.0,80.13619047619048,82.44907407407408,80.0,83.15520833333333,78.0,83.0,82.23715274440067,88.0,87.73333333333333,87.0,85.78800196958092,85.12342738205366,87.0,83.0,78.0,93.0,90.0,82.23715274440067,87.0,89.67533577533578,86.0,91.0,76.08333333333333,76.0,86.0,94.0,92.0,79.0,78.0,89.0,86.24999999999999,82.0,92.0,91.0,86.33333333333333,84.0,73.0,82.40857142857143,87.25925925925925,83.66666666666667,88.0,93.0,91.0,92.0,84.0,82.0,88.0,82.40857142857143,82.0,88.20588235294119,94.0,92.0,93.0,88.61713691026827,86.24999999999999,86.0,82.23715274440067,88.0,86.5,89.66666666666667,80.0,86.1029411764706,79.0,90.5514705882353,81.0,87.25925925925925,83.0,92.0,87.41975308641975,83.83766788766789,90.0,86.15466863624758,85.465625,82.0,85.0,86.50617283950616,82.40857142857143,85.0,87.0,85.0
Inggris,84.0,80.5,83.88866675928499,86.0,85.5,84.72972222222222,82.75,90.875,54.255466703714,85.30796586059743,81.0,87.0,84.51785714285714,85.0,87.0,86.0,83.5,88.58697478991597,83.91888888888889,82.5040100988849,83.91888888888889,86.0,91.0,88.52222222222221,83.88866675928499,86.11596638655463,88.0,88.66239316239316,89.0,88.63481481481482,96.0,85.0,89.88055555555556,88.83411439981208,88.0,86.0,90.0,88.0,85.96000420786872,83.0,84.0,83.88866675928499,83.56666666666666,84.0,83.91888888888889,85.13148148148149,85.4443333796425,88.5475687103594,83.88866675928499,85.0,84.0,81.94592592592592,83.5,83.88866675928499,90.0,85.0,98.0,85.70088888888888,84.31944444444444,83.0,83.62955558642834,82.0,88.0,84.88001262360613,93.0,87.0,88.0,84.15398293029872,88.5475687103594,87.0,81.0,80.0,89.0,86.0,84.88001262360613,91.0,88.52222222222221,84.0,85.0,77.89666877060102,83.0,88.0,85.0,88.0,83.0,87.0,83.0,85.5,95.0,90.0,92.0,87.0,82.0,82.50401009888492,83.91888888888889,87.78888888888888,81.296222253095,88.0,93.0,88.0,87.0,87.5,88.0,88.0,83.91888888888889,85.0,86.17394957983194,88.50740740740741,75.3,89.0,88.5475687103594,85.5,86.0,84.88001262360613,90.0,82.5,86.87826330532214,81.0,87.0,79.0,86.04348739495799,86.0,87.78888888888888,90.0,82.0,88.92962962962963,83.2611111111111,87.0,86.15398293029872,83.88866675928499,91.0,84.0,86.85925925925926,83.91888888888889,85.5,94.0,85.0
Indonesia,84.0,89.5,85.24603174603176,89.0,87.83333333333333,85.83791666666667,84.0,89.875,85.0,85.9701280227596,80.0,87.33333333333333,85.49380378657487,86.0,84.0,83.0,84.95833333333333,87.8,84.35166666666666,85.36174342105264,84.35166666666666,85.0,97.0,87.36781609195403,85.24603174603176,85.73333333333333,83.0,86.44916003536694,89.0,87.71570881226053,94.0,88.0,89.0919540229885,90.42851851851853,88.0,89.0,88.0,89.0,86.78724780701755,81.0,85.5,85.24603174603176,84.1888888888889,83.0,84.35166666666666,88.49567901234569,86.12301587301587,87.0,85.24603174603176,85.0,84.0,83.9011111111111,84.0,85.24603174603176,89.0,86.0,83.0,84.45055555555555,85.16203703703704,79.0,86.41534391534391,79.0,86.0,85.36174342105264,87.0,87.33333333333333,89.0,83.48506401137979,88.74000000000001,86.5,83.0,85.0,86.0,82.0,85.36174342105264,92.0,87.36781609195403,87.0,89.0,77.14362390350878,85.0,89.0,88.0,83.0,83.0,85.0,82.0,87.83333333333333,95.0,90.0,95.0,86.33333333333333,84.0,85.36174342105264,84.35166666666666,87.97407407407408,85.41534391534391,91.0,93.0,92.0,88.0,89.0,86.0,90.5,84.35166666666666,88.0,85.6,90.455938697318,75.3,82.0,88.74000000000001,87.83333333333333,84.0,85.36174342105264,87.0,87.0,87.0,84.0,86.0,80.0,84.65,80.0,87.97407407407408,88.0,79.0,84.42469135802469,82.183908045977,88.0,86.65173067804646,85.24603174603176,89.0,86.0,86.98271604938272,84.35166666666666,86.5,80.0,84.0
Fisika,82.0,84.5844298245614,84.49301572617946,81.95661538461539,83.36,81.73915384615384,80.5,89.4375758636788,87.0,84.64671957671958,73.0,85.45,85.45867269984917,88.0,92.0,80.0,82.3625,87.53285714285715,81.95661538461539,84.5844298245614,81.95661538461539,85.0,88.0,88.74712643678161,84.49301572617946,88.04380952380954,88.0,87.88328912466844,92.0,89.31647509578544,93.0,88.0,90.6867816091954,89.66800887021475,95.0,88.0,81.95661538461539,87.82857142857142,84.58442982456141,81.95661538461539,84.5844298245614,84.49301572617946,83.6259649122807,83.0,81.95661538461539,86.5262916277622,84.49301572617946,83.0,84.49301572617946,84.5844298245614,85.13678704195927,81.95661538461539,80.0,84.49301572617946,81.0,84.0,87.0,81.95661538461539,83.04956140350878,81.95661538461539,82.65056280867621,84.5844298245614,83.0,84.5844298245614,87.33333333333333,85.45,84.0,82.8233597883598,87.82857142857142,84.5,83.0,85.45867269984917,87.0,86.0,84.5844298245614,85.45867269984917,88.74712643678161,78.0,86.84346405228757,84.58442982456141,58.6,90.0,95.0,88.0,84.64671957671958,86.0,88.0,83.36,79.0,91.0,84.0,86.66666666666667,86.0,84.5844298245614,81.95661538461539,86.84346405228757,82.31722947534287,86.0,93.0,92.0,88.74712643678161,84.5,87.0,89.0,81.95661538461539,84.64671957671958,87.0657142857143,88.5823754789272,83.76869281045751,88.0,87.82857142857142,83.36,92.0,84.5844298245614,84.0,86.0,88.0,82.0,87.5,82.0,88.51642857142858,85.0,86.84346405228757,85.0,87.0,86.6144880174292,83.37356321839081,88.5,85.04835978835979,84.49301572617946,80.0,83.0,85.56230936819172,81.95661538461539,84.5844298245614,86.0,84.5844298245614
Kimia,81.0,84.59241126070991,85.29767441860466,82.39778205128205,85.1,82.34944551282051,81.5,88.71610644257703,74.3,85.03521367521367,73.0,85.53787878787878,85.232,82.0,81.0,81.0,82.13446969696969,89.26142857142857,82.39778205128205,84.59241126070991,82.39778205128205,83.0,88.0,89.18821839080461,85.29767441860466,86.01523809523809,85.232,88.30316091954025,89.0,90.27921455938697,92.0,85.0,92.29705459770115,88.11792717086834,92.0,91.0,82.39778205128205,87.62857142857143,84.59241126070991,82.39778205128205,84.59241126070991,85.29767441860466,85.24102465465992,85.29767441860466,82.39778205128205,87.78814192343604,85.29767441860466,84.0,85.29767441860466,84.59241126070991,85.25389147286822,82.39778205128205,84.5,85.29767441860466,86.0,84.0,89.0,82.39778205128205,85.91835839598997,82.39778205128205,85.27578294573644,84.59241126070991,83.0,84.59241126070991,90.33333333333333,85.53787878787878,89.0,82.01760683760683,87.62857142857143,87.0,71.3,85.232,89.0,86.0,84.59241126070991,85.232,89.18821839080461,79.0,87.84313725490196,84.59241126070991,59.6,90.0,89.0,89.0,85.03521367521367,85.0,93.0,85.1,87.0,94.0,94.0,88.0,84.0,84.59241126070991,82.39778205128205,87.84313725490196,84.50989147286822,87.0,93.0,93.0,89.18821839080461,84.0,84.0,87.5,82.39778205128205,85.03521367521367,86.52285714285713,92.06273946360153,89.0,91.0,87.62857142857143,85.1,84.0,84.59241126070991,86.0,87.0,86.0,80.0,87.0,82.0,88.13071428571428,83.0,87.84313725490196,83.0,84.0,86.281045751634,83.5941091954023,89.5,85.28654623154623,85.29767441860466,79.0,81.0,86.89542483660131,82.39778205128205,84.59241126070991,87.0,84.59241126070991
Biologi,83.0,83.87994186046512,84.18255813953488,82.82753623188407,86.17272727272727,83.70688405797102,83.25,89.69579831932774,83.0,86.20689655172414,73.0,86.52272727272728,84.77415384615384,82.0,85.0,85.0,83.88068181818181,88.53285714285714,82.82753623188407,83.87994186046512,82.82753623188407,88.0,88.0,88.35568181818182,84.18255813953488,84.71047619047619,84.77415384615384,86.77526223776225,90.0,88.62371212121212,92.0,93.0,89.33892045454546,87.64033613445378,91.0,90.0,82.82753623188407,88.50252100840336,83.87994186046512,82.82753623188407,83.87994186046512,84.18255813953488,84.75493574051407,84.18255813953488,82.82753623188407,87.62789915966387,84.18255813953488,82.0,84.18255813953488,83.87994186046512,84.57695527728085,82.82753623188407,85.5,84.18255813953488,89.0,82.0,76.0,82.82753623188407,83.74122807017544,82.82753623188407,84.37975670840787,83.87994186046512,89.0,83.87994186046512,91.0,86.52272727272728,86.0,85.10344827586206,88.50252100840336,86.0,83.0,84.77415384615384,89.5,86.0,83.87994186046512,84.77415384615384,88.35568181818182,87.0,87.05882352941177,83.87994186046512,82.0,90.0,87.0,88.0,86.20689655172414,82.0,79.0,86.17272727272727,93.0,91.0,96.0,88.33333333333333,83.0,83.87994186046512,82.82753623188407,87.05882352941177,82.31890399522958,85.0,93.0,91.0,88.35568181818182,83.41376811594203,85.0,90.0,82.82753623188407,81.0,86.06571428571428,88.78522727272728,87.05882352941177,81.0,88.50252100840336,86.17272727272727,89.0,83.87994186046512,85.0,86.0,85.66666666666667,85.0,87.0,78.0,87.51642857142858,86.0,87.05882352941177,89.0,77.0,86.68627450980392,90.67784090909092,92.0,86.36481191222572,84.18255813953488,83.0,86.0,87.03921568627452,82.82753623188407,83.87994186046512,86.0,83.87994186046512
Ekonomi,86.14571428571429,89.0,86.14571428571429,91.24214285714285,87.27142857142857,83.72642857142857,82.06204493425523,92.25,86.14571428571429,85.21111111111111,79.0,86.09761904761905,85.84202268220189,87.83974358974359,87.91742424242425,87.83974358974359,85.87996031746032,87.9198717948718,84.21071428571429,83.96892940092573,84.21071428571429,87.91742424242425,85.21111111111111,87.91742424242425,86.14571428571429,87.19444444444446,78.0,87.85066433566432,88.10190476190476,88.19840404040403,88.0,93.0,87.91742424242425,88.6639768170426,85.84202268220189,81.0,90.0,90.0,85.65630980030858,81.0,84.5,86.14571428571429,81.7367097608274,86.0,84.21071428571429,91.1192126148705,91.07285714285715,82.0,86.14571428571429,84.0,87.9473408940673,84.80714285714286,84.91714285714286,86.14571428571429,85.0,83.88742857142857,86.87738095238095,84.40357142857142,81.7294210240021,77.0,86.38190476190476,87.0,87.91742424242425,83.96892940092573,86.76380952380953,86.09761904761905,86.0,85.65436507936508,89.8378947368421,83.70521360932113,85.21111111111111,88.0,88.0,85.70521360932113,83.96892940092573,86.0,87.91742424242425,84.0,88.10190476190476,78.91148823348762,85.0,87.83974358974359,86.0,87.91742424242425,85.21111111111111,85.84202268220189,84.21071428571429,87.27142857142857,83.32642857142858,85.21111111111111,84.21071428571429,85.21179894179893,81.0,83.96892940092573,84.21071428571429,86.87738095238095,85.09714285714286,89.8378947368421,87.83974358974359,87.91742424242425,87.0,84.21071428571429,87.91742424242425,90.47031578947369,84.21071428571429,84.0,87.83974358974359,87.91742424242425,86.87738095238095,87.83974358974359,89.8378947368421,87.27142857142857,89.8378947368421,83.96892940092573,87.91742424242425,86.47031578947369,87.52777777777779,88.0,90.9198717948718,84.21071428571429,86.8798076923077,85.84202268220189,86.87738095238095,84.21071428571429,87.0,87.23842522974103,87.91742424242425,87.83974358974359,85.65436507936508,86.14571428571429,88.72642857142857,85.21111111111111,87.86421888053466,84.21071428571429,86.0,89.8378947368421,86.0
Geografi,85.51272727272728,87.5,85.51272727272728,91.0,87.5,84.62774725274726,81.9260305512853,88.95980252896614,85.51272727272728,84.79370629370628,77.0,85.93333333333334,86.58409090909092,84.33333333333333,85.85892857142858,84.33333333333333,85.07861305361304,84.56666666666666,84.80860805860806,84.2831380256475,84.80860805860806,85.85892857142858,84.79370629370628,85.85892857142858,85.51272727272728,85.15555555555555,88.0,86.47412087912087,88.6590909090909,85.6967142857143,84.80860805860806,84.2831380256475,85.85892857142858,88.21193367498515,86.58409090909092,88.6590909090909,89.0,89.0,88.42771267521584,86.0,84.64156901282375,85.51272727272728,80.80169230769232,84.0,84.80860805860806,89.29223546741929,85.75636363636363,72.3,85.51272727272728,86.0,86.66666666666667,83.87240537240537,85.1,85.51272727272728,79.33615384615385,84.50763636363635,88.6590909090909,86.3901098901099,82.66807817820934,81.0,85.17090909090909,87.0,86.0,84.2831380256475,84.67515151515151,85.93333333333334,88.09432189542484,85.36351981351982,88.09432189542484,86.68806818181818,84.79370629370628,84.0,84.56666666666666,86.58409090909092,84.2831380256475,92.0,85.85892857142858,85.79999999999998,88.0,78.96385633760792,87.5,84.33333333333333,85.51272727272728,85.85892857142858,84.79370629370628,86.58409090909092,84.80860805860806,87.5,87.0,84.79370629370628,84.80860805860806,84.72066822066823,84.80860805860806,84.2831380256475,84.80860805860806,88.6590909090909,83.34181818181818,88.09432189542484,84.33333333333333,85.85892857142858,83.0,84.80860805860806,85.85892857142858,85.50943218954248,84.80860805860806,82.0,84.33333333333333,85.85892857142858,88.6590909090909,84.33333333333333,88.09432189542484,87.5,91.0,84.2831380256475,85.85892857142858,86.07545751633987,84.48888888888888,85.85892857142858,84.33333333333333,84.80860805860806,84.33333333333333,86.58409090909092,88.6590909090909,84.80860805860806,84.33333333333333,88.28257823331353,85.85892857142858,84.33333333333333,85.36351981351982,85.51272727272728,84.80860805860806,84.79370629370628,88.47083457120222,84.80860805860806,86.5,88.09432189542484,87.0
Sosiologi,86.93087709392057,85.5,86.93087709392057,91.0,87.0,85.70249999999999,81.3318462222751,91.87247474747475,86.93087709392057,85.6959706959707,83.0,85.36666666666667,86.37065637065638,84.66666666666666,89.8989898989899,84.66666666666666,85.61364468864468,84.66666666666666,84.85,82.6827761778624,84.85,89.8989898989899,85.6959706959707,89.8989898989899,86.93087709392057,84.44444444444444,88.0,89.84055944055942,91.88888888888889,89.16309764309763,84.85,85.103470222328,89.8989898989899,90.7449494949495,86.37065637065638,91.88888888888889,89.0,93.0,89.201156740776,84.0,85.5,86.93087709392057,80.47016666666667,84.0,84.85,88.87542087542089,85.96543854696029,90.36363636363636,86.93087709392057,87.0,85.0,84.56666666666666,85.2,86.93087709392057,77.45027777777779,84.35852625635235,91.88888888888889,83.61666666666666,82.72982508895764,82.0,85.97695903130686,90.0,89.8989898989899,85.103470222328,87.97695903130686,85.36666666666667,90.36363636363636,85.53131868131868,90.36363636363636,86.37065637065638,85.6959706959707,88.0,84.66666666666666,86.37065637065638,85.103470222328,92.0,89.8989898989899,84.66666666666666,90.0,79.76724503705466,87.0,84.66666666666666,86.93087709392057,89.8989898989899,85.6959706959707,86.37065637065638,84.85,87.0,91.88888888888889,85.6959706959707,84.85,85.07313797313797,84.85,85.103470222328,84.85,91.88888888888889,86.62058472928038,90.36363636363636,84.66666666666666,89.8989898989899,93.0,84.85,89.8989898989899,90.36363636363636,84.85,88.0,84.66666666666666,89.8989898989899,91.88888888888889,84.66666666666666,90.36363636363636,87.0,90.36363636363636,85.103470222328,89.8989898989899,87.89090909090909,85.1111111111111,89.8989898989899,84.66666666666666,84.85,84.66666666666666,86.37065637065638,91.88888888888889,84.85,82.0,90.87205387205387,89.8989898989899,84.66666666666666,85.53131868131868,86.93087709392057,84.85,85.6959706959707,91.38047138047138,84.85,85.5,90.36363636363636,85.0
Sejarah,83.94388335704126,88.0,83.94388335704126,93.0,88.19047619047618,85.51791666666666,81.00066910486338,90.58131720430107,85.0,83.664,80.0,86.6,85.4122103814644,84.08666666666667,88.26190476190477,84.08666666666667,83.524,86.04333333333334,85.07166666666666,84.16999668089143,85.07166666666666,88.26190476190477,83.664,88.26190476190477,83.94388335704126,84.39111111111112,93.0,89.21794871794874,91.0,87.69047619047622,91.0,84.16999668089143,88.88095238095238,89.61575940860214,85.4122103814644,87.8125,89.0,91.0,88.88999889363048,82.0,83.08499834044571,83.94388335704126,81.89960784313726,85.0,85.07166666666666,89.80208333333333,84.97194167852064,87.0,83.94388335704126,84.0,85.66666666666667,84.38111111111111,84.59523809523809,83.94388335704126,85.0,84.0,87.8125,85.02388888888889,85.25066910486338,84.0,87.64796111901376,90.0,83.0,84.16999668089143,83.96258890469417,86.6,89.13010752688172,86.332,88.65053763440861,85.85305259536611,73.3,83.0,86.04333333333334,86.0,84.16999668089143,91.0,88.26190476190477,86.0,92.0,77.27833278014857,86.11428571428571,84.08666666666667,84.0,84.0,83.664,79.0,85.07166666666666,88.19047619047618,87.8125,83.664,85.07166666666666,81.18799999999999,82.0,84.16999668089143,85.07166666666666,87.8125,83.2959222380275,83.0,84.08666666666667,88.26190476190477,93.0,90.53583333333333,88.26190476190477,87.5,85.07166666666666,84.0,84.08666666666667,88.26190476190477,87.8125,84.08666666666667,88.65053763440861,88.19047619047618,86.0,84.16999668089143,88.26190476190477,85.8252688172043,85.05777777777779,88.26190476190477,83.04333333333334,77.0,84.08666666666667,85.4122103814644,87.8125,85.0,78.0,86.1543458781362,83.13095238095238,86.54333333333334,85.132,83.94388335704126,83.0,84.0,86.20833333333333,85.07166666666666,86.5,88.65053763440861,85.0
